Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-OCT-2024,41978.45,42325.85,41631.5,41762.6,26143240,5417.01
04-OCT-2024,41682.95,42566.15,41682.95,41912.5,28106685,6130.62
07-OCT-2024,42134.65,42491.85,41760.1,42190.6,21954385,4902.86
08-OCT-2024,42275.25,42445.25,41639.45,42387.55,18426132,3591.72
09-OCT-2024,42524.7,42920.55,42498.55,42622.75,16666943,3321.93
10-OCT-2024,42801.05,42880.4,42012.35,42088.8,19847322,3768.57
11-OCT-2024,41770.5,42567.2,41734.2,42335.7,20811308,5378.94
14-OCT-2024,42383.25,42985.1,42357.75,42872.75,28336403,4155.2
15-OCT-2024,42917.65,43329.5,42572.8,42731.3,29359019,5360.02
16-OCT-2024,42605.35,42691.15,42168.7,42230.7,17139081,3644.72
17-OCT-2024,42455.6,42900.45,42369.8,42734.3,35421382,6797.71
18-OCT-2024,42216.9,42579.75,41838,42106.5,58536881,7395.86
21-OCT-2024,42426.45,42609.05,41481.55,41562.7,28133205,4891.23
22-OCT-2024,41556.35,41850.6,41155.85,41238.8,21763795,3811.68
23-OCT-2024,41168.4,42530.95,41151.35,42222.1,27407160,8056.48
24-OCT-2024,41929.25,42379.6,41926.85,42139.85,16297576,4220.73
25-OCT-2024,42235.3,42366.15,41874.55,42038.85,19034514,3892.15
28-OCT-2024,42012.6,42401.3,41963.3,42205.4,19193332,3664.09
29-OCT-2024,42167.55,42210.9,41746.6,42031.45,16313469,2907.07
30-OCT-2024,41975.35,42164.35,41572.1,41668.6,22760617,3836.52
31-OCT-2024,41501.95,41501.95,40191.95,40407.55,29350168,6023.09
01-NOV-2024,40568.65,40646.7,40366.5,40433.65,2184607,360.57
04-NOV-2024,40202.25,40472.45,39975,40421.8,21838165,4328.45
05-NOV-2024,40345.45,40658.25,40225.2,40424.6,11904718,2234.87
06-NOV-2024,40770.6,42105.5,40675.05,42039.5,34531583,7085
07-NOV-2024,42151.5,42369.65,41348.75,41752.4,19558010,4345.73
08-NOV-2024,41938.8,42306.7,41840.7,42050.15,21686899,3677.34
11-NOV-2024,41991.35,42798.15,41793.65,42590.3,18123727,3173.73
12-NOV-2024,42846,42884.6,42462.05,42609.55,18267860,3682.01
13-NOV-2024,42484.45,42659.7,42201.4,42369.5,14998462,2889.76
14-NOV-2024,42318.75,42633,42162.8,42390.85,16646560,3306.57
18-NOV-2024,42442.85,42442.85,41035.4,41406.55,21830471,4323.13
19-NOV-2024,41534.6,42447.65,41534.6,41748.35,18754974,3520.42
21-NOV-2024,41928.9,42325.85,41678.2,41952.8,19166562,3781.57
22-NOV-2024,42229.2,43436.15,41983.55,43332.1,24590955,5146.95
25-NOV-2024,43697.85,43751.65,43337.6,43618.15,42038571,8475.27
26-NOV-2024,43763.2,44244.6,43699.45,44085.95,21692294,4122.36
27-NOV-2024,44132.5,44330.6,43980.15,44018.7,18110864,3434.84
28-NOV-2024,43948,44013.1,42864.8,42968.75,24114505,4947.4
29-NOV-2024,42873.8,43468.95,42738.75,43146.25,16742566,3444.85
02-DEC-2024,43171.75,43578,42860.8,43547,14516943,2756.96
03-DEC-2024,43794.7,43811.5,43404,43754.95,28296144,3872.99
04-DEC-2024,43761.15,44225.55,43585.05,43949.25,28921568,4517.28
05-DEC-2024,44174.8,45027.95,44023.9,44806.4,34791038,6113.56
06-DEC-2024,44780.45,44852.3,44519.7,44716.05,17886948,3067.89
09-DEC-2024,44648.3,44913.3,44477.15,44832,19493808,3330.45
10-DEC-2024,44848.5,45377.75,44824.15,45199.75,32302648,5013.6
11-DEC-2024,45238.8,45398.95,45046.6,45350.35,19365487,3276.98
12-DEC-2024,45409.7,46002.65,45375.5,45701.65,29279804,5182.34
13-DEC-2024,45496.95,46088.9,45073.5,45995.8,20521395,3966.26
16-DEC-2024,45937.1,46005.2,45536.85,45653.6,15596667,2721.27
17-DEC-2024,45576.15,45759.65,45213.85,45413.75,24158119,4316.8
18-DEC-2024,45293.05,45693,45237.3,45526.85,21616930,3346.8
19-DEC-2024,44493.45,45265.95,44434.1,44954.15,27825876,5312.35
20-DEC-2024,45513.35,45647.3,43663.05,43771.05,47421999,7731.32
23-DEC-2024,44011.5,44267.4,43643.95,43828.35,16413689,3091.56
24-DEC-2024,43897,44203.05,43262.1,43668.9,15528385,2224.16
26-DEC-2024,43708.2,43851,43420.9,43664.25,14275141,2425.78
27-DEC-2024,43707,43863.65,43546.05,43721.4,15688189,2268.46
30-DEC-2024,43674.05,44175.5,43259.8,43971.4,41611271,8570.37
31-DEC-2024,43622.4,43659.65,42574.45,43337.8,19785041,3292.36
